,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,16-04-2020,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
2,10-03-2020,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
3,17-01-2020,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
4,10-10-2019,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
5,09-07-2019,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
6,12-04-2019,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
7,10-01-2019,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
8,11-10-2018,Board Meeting,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
9,10-07-2018,Board Meeting,Interim Dividend & Quarterly Results
10,15-06-2018,Board Meeting,Pursuant to Regulation 29(1)(b) of the SEBI (Listing Obligations and Dis...
11,19-04-2018,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
12,11-01-2018,Board Meeting,Third Interim Dividend & Quarterly ResultsTata Consultancy Services Ltd ...
13,12-10-2017,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
14,13-07-2017,Board Meeting,Notice is hereby given that a meeting of Board of Directors of Tata Cons...
15,18-04-2017,Board Meeting,"Dear Sirs,  Notice is hereby given that a meeting of Board of Directors ..."
16,20-02-2017,Board Meeting,Tata Consultancy Services Ltd has informed BSE that the Board of Directo...
17,12-01-2017,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of Board o...
18,13-10-2016,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of Board o...
19,14-07-2016,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
20,18-04-2016,Board Meeting,Final Dividend & Audited ResultsTata Consultancy Services Ltd has inform...
21,12-01-2016,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
22,13-10-2015,Board Meeting,Quarterly Results & Second Interim DividendTata Consultancy Services Ltd...
23,09-07-2015,Board Meeting,Quarterly Results & Interim DividendTata Consultancy Services Ltd has in...
24,16-04-2015,Board Meeting,Final Dividend & Audited ResultsTata Consultancy Services Ltd has inform...
25,15-01-2015,Board Meeting,Quarterly Results & Third Interim DividendTata Consultancy Services Ltd ...
26,16-10-2014,Board Meeting,Quarterly Results & Second Interim Dividend
27,17-07-2014,Board Meeting,Quarterly Results & Interim Dividend
28,16-04-2014,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
29,16-01-2014,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
30,15-10-2013,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
31,18-07-2013,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
32,31-05-2013,Board Meeting,Tata Consultancy Services Ltd has informed BSE that by an Order made on ...
33,17-04-2013,Board Meeting,Audited Results & To consider  Dividend on the Redeemable Preference Sha...
34,14-01-2013,Board Meeting,Tata Consultancy Services Ltd has informed BSE that a meeting of the Boa...
